Код	Полное наименование	Короткое наименование	Регион	Район	Улица
101011	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №4	ГСВ №4	Бишкек	Первомайский	Логвиненко ул.
101651	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №13	ГСВ №13	Бишкек	Ленинский	
101561	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №4	ГСВ №4	Бишкек	Первомайский	Киевская ул.
101291	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №1	ГСВ №1	Бишкек	Свердловский	
823411	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""РОТ-ФРОНТ"""	"ГСВ ""РОТ-ФРОНТ"""	Чуйская	Ысык-Атинский	
620121	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""ЧАЛМА"""	"ГСВ  №10 ""ЧАЛМА"""	Ошская	Кара-Кулжинский	
411951	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""КОШ-ДЕБЕ"""	"ГСВ ""КОШ-ДЕБЕ"""	Нарынская	Ак-Талинский	Ырыскелди
101851	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №12	ГСВ №12	Бишкек	Первомайский	
101161	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №1	ГСВ №1	Бишкек	Свердловский	
101111	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №9	ГСВ №9	Бишкек	Свердловский	
101371	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №4	ГСВ №4	Бишкек	Ленинский	
101021	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №5	ГСВ №5	Бишкек	Первомайский	Максат ул.
101081	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №7	ГСВ №7	Бишкек	Свердловский	
101841	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №11	ГСВ №11	Бишкек	Первомайский	
101361	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №3	ГСВ №3	Бишкек	Ленинский	
101891	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №1	ГСВ №1	Бишкек	Первомайский	Тоголок Молдо ул.
102651	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №6	ГСВ №6	Бишкек	Октябрьский	
101531	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №8	ГСВ №8	Бишкек	Ленинский	
101501	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №5	ГСВ №5	Бишкек	Ленинский	
