Код	Полное наименование	Короткое наименование	Регион	Район	Улица
307401	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""1 МАЙ"""	"ФАП ""1 МАЙ"""	Джалал-Абадская	Базар-Коргонский	
308701	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №6 ""АК-КОРГОН"""	"ГСВ №6 ""АК-КОРГОН"""	Джалал-Абадская	Ала-Букинский	Умаров Холмирза ул.
307671	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ЧОН-САЙ"""	"ФАП ""ЧОН-САЙ"""	Джалал-Абадская	Ала-Букинский	Араб ул.
306871	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ДОСТУК"""	"ФАП ""ДОСТУК"""	Джалал-Абадская	Сузакский	Ахунов Х.
306801	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""АРАЛ"""	"ФАП ""АРАЛ"""	Джалал-Абадская	Сузакский	Алибаев Т.
720701	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КУРУУ-МАЙМАК"""	"ФАП ""КУРУУ-МАЙМАК"""	Таласская	Кара-Бууринский	
307171	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ИМ.КАРЛА-МАРКСА"""	"ФАП ""ИМ.КАРЛА-МАРКСА"""	Джалал-Абадская	Тогуз-Тороуский	Кызыл-Суу
307071	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ЖАНЫ-АЙЫЛ"""	"ФАП ""ЖАНЫ-АЙЫЛ"""	Джалал-Абадская	Ноокенский	
101591	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №1	ГСВ №1	Бишкек	Ленинский	Кривоносова ул.
307131	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КАЛЕН ЖАКЫПОВ"""	"ФАП ""КАЛЕН ЖАКЫПОВ"""	Джалал-Абадская	Токтогульский	
843771	"Медпункт ""Вагонно-ремонтный завод Беловодск"""	"Медпункт ""Вагонно-ремонтный завод Беловодск"""	Чуйская	Московский	
307391	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ПРАВДА"""	"ФАП ""ПРАВДА"""	Джалал-Абадская	Базар-Коргонский	
307381	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""К?К-АЛМА"""	"ФАП ""К?К-АЛМА"""	Джалал-Абадская	Базар-Коргонский	
307371	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КОЛОТ"""	"ФАП ""КОЛОТ"""	Джалал-Абадская	Базар-Коргонский	
307351	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КЫЗЫЛ-ОКТЯБРЬ"""	"ФАП ""КЫЗЫЛ-ОКТЯБРЬ"""	Джалал-Абадская	Базар-Коргонский	
307341	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КАРАЧА"""	"ФАП ""КАРАЧА"""	Джалал-Абадская	Базар-Коргонский	
307321	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ЖЕТИ-КОШКОН"""	"ФАП ""ЖЕТИ-КОШКОН"""	Джалал-Абадская	Базар-Коргонский	
307311	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ЖАЙ-ТЕРЕК"""	"ФАП ""ЖАЙ-ТЕРЕК"""	Джалал-Абадская	Базар-Коргонский	
307301	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ЖАЗ-КЕЧ??"""	"ФАП ""ЖАЗ-КЕЧ??"""	Джалал-Абадская	Базар-Коргонский	
307281	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""БЕШ-БАДАМ"""	"ФАП ""БЕШ-БАДАМ"""	Джалал-Абадская	Базар-Коргонский	
307251	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КАРА-БАШАТ"""	"ФАП ""КАРА-БАШАТ"""	Джалал-Абадская	Аксыйский	
307291	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КЕЗАРТ"""	"ФАП ""КЕЗАРТ"""	Джалал-Абадская	Аксыйский	
307121	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ТОРУК 2"""	"ФАП ""ТОРУК 2"""	Джалал-Абадская	Аксыйский	
307331	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ТОКТОГУЛ 2"""	"ФАП ""ТОКТОГУЛ 2"""	Джалал-Абадская	Аксыйский	
823311	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КЕПЕР-АРЫК"""	"ФАП ""КЕПЕР-АРЫК"""	Чуйская	Московский	
410561	НАРЫНСКОЕ ТЕРРИТОРИАЛЬНОЕ УПРАВЛЕНИЕ ФОНДА ОБЯЗАТЕЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ	ТУ ФОМС НАРЫНСКИЙ	Нарынская	Нарын	ул. Ж.Шералиева
205291	ИССЫККУЛЬСКИЙ ОБЛАСТНОЙ МЕДИКО-ИНФОРМАЦИОННЫЙ ЦЕНТР	МИЦ ИССЫККУЛЬСКИЙ ОБЛАСТНОЙ	Иссык-Кульская	Каракол	Тыныстанов
307271	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""АК-ТЕРЕК"""	"ФАП ""АК-ТЕРЕК"""	Джалал-Абадская	Базар-Коргонский	
203641	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КОК-САЙ"""	"ФАП ""КОК-САЙ"""	Иссык-Кульская	Тонский	
203651	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КЫЗАЛ-ТУУ"""	"ФАП ""КЫЗАЛ-ТУУ"""	Иссык-Кульская	Тонский	
203661	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""АЛА-БАШ"""	"ФАП ""АЛА-БАШ"""	Иссык-Кульская	Тонский	
843781	"ФАП ""Станция Жель-Арык"""	"ФАП ""Станция Жель-Арык"""	Чуйская	Кеминский	
309541	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №3	ГСВ №3	Джалал-Абадская	Аксыйский	
204841	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""БАРСКООН"""	"ГСВ ""БАРСКООН"""	Иссык-Кульская	Жети-Огузский	Ленин ул.
307631	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КОШ-БОЛОТ"""	"ФАП ""КОШ-БОЛОТ"""	Джалал-Абадская	Ала-Букинский	
307581	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""БУЛАК-БАШЫ"""	"ФАП ""БУЛАК-БАШЫ"""	Джалал-Абадская	Ала-Букинский	Талды-Булак ул.
308011	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""УСТА-САЙ"""	"ФАП ""УСТА-САЙ"""	Джалал-Абадская	Токтогульский	
307991	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КЕТЕРМЕ"""	"ФАП ""КЕТЕРМЕ"""	Джалал-Абадская	Токтогульский	
307491	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""АК-ТАШ"""	"ФАП ""АК-ТАШ"""	Джалал-Абадская	Чаткальский	Исабеков Н. ул.
307431	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ(ШЫДЫР) ""К.Турдубаева """	"ФАП Турдубаева ( ""ШЫДЫР"""")"""	Джалал-Абадская	Базар-Коргонский	
307421	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ИМ.ЧКАЛОВА"""	"ФАП ""ИМ.ЧКАЛОВА"""	Джалал-Абадская	Базар-Коргонский	
307411	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""СЕЙИТ-КАЗЫ"""	"ФАП ""СЕЙИТ-КАЗЫ"""	Джалал-Абадская	Базар-Коргонский	
308211	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КАТРАНКЫ"""	"ФАП ""КАТРАНКЫ"""	Джалал-Абадская	Сузакский	
308221	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КЫЗЫЛ-КЫЯ"""	"ФАП ""КЫЗЫЛ-КЫЯ"""	Джалал-Абадская	Сузакский	
307981	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КОРГОН-ШАНЕК"""	"ФАП ""КОРГОН-ШАНЕК"""	Джалал-Абадская	Токтогульский	
307971	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""МАЗАР-СУУ"""	"ФАП ""МАЗАР-СУУ"""	Джалал-Абадская	Токтогульский	
307951	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""БЕЛЬ-АЛДЫ"""	"ФАП ""БЕЛЬ-АЛДЫ"""	Джалал-Абадская	Токтогульский	
411111	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КАРА-МОЙНОК"""	"ФАП ""КАРА-МОЙНОК"""	Нарынская	Кочкорский	
307941	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""АРАЛ"""	"ФАП ""АРАЛ"""	Джалал-Абадская	Токтогульский	
307521	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КЫЗЫЛ-ТОКОЙ"""	"ФАП ""КЫЗЫЛ-ТОКОЙ"""	Джалал-Абадская	Чаткальский	Агартуу ул.
307681	"ФИЛИАЛ ТЕРРИТОРИАЛЬНОЙ БОЛЬНИЦЫ ""АК-КОРГОН"""	"ФТБ ""АК-КОРГОН"""	Джалал-Абадская	Ала-Букинский	Умаров Холмирза ул.
307851	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КЫЗЫЛ-ТУУ"""	"ФАП ""КЫЗЫЛ-ТУУ"""	Джалал-Абадская	Ноокенский	
308301	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КАНЖЫГА"""	"ФАП ""КАНЖЫГА"""	Джалал-Абадская	Сузакский	
308331	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""САРЫ-БУЛАК"""	"ФАП ""САРЫ-БУЛАК"""	Джалал-Абадская	Сузакский	
203241	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КИЧИ-ЖАРГЫЛЧАК"""	"ФАП ""КИЧИ-ЖАРГЫЛЧАК"""	Иссык-Кульская	Жети-Огузский	Мамырбаев
204831	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""АК-ТЕРЕК"""	"ГСВ ""АК-ТЕРЕК"""	Иссык-Кульская	Жети-Огузский	Кыдыралиев  Байтик ул.
411091	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""АК-ТАЛАА"""	"ФАП ""АК-ТАЛАА"""	Нарынская	Кочкорский	Р.Матса
619011	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""НУРА"""	"ГСВ ""НУРА"""	Ошская	Алайский	
101911	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №3	ГСВ №3	Бишкек	Первомайский	Тоголок- Молдо
309181	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ЧАКМАК-СУУ"""	"ФАП ""ЧАКМАК-СУУ"""	Джалал-Абадская	Чаткальский	Сулайманов Эрмырза ул.
824401	ЧУЙСКАЯ ОБЛАСТНАЯ ОБЪЕДИНЕННАЯ БОЛЬНИЦА имени Э.Х  Акрамова	ЧООБ имени Э.Х  Акрамова	Чуйская	Аламудунский	
307841	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КАРА-БУЛАК"""	"ФАП ""КАРА-БУЛАК"""	Джалал-Абадская	Ноокенский	
307821	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""БОСТОН"""	"ФАП ""БОСТОН"""	Джалал-Абадская	Ноокенский	
307831	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ЖЕНИШ"""	"ФАП ""ЖЕНИШ"""	Джалал-Абадская	Ноокенский	
307861	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КЫЗЫЛ-КЫЯ"""	"ФАП ""КЫЗЫЛ-КЫЯ"""	Джалал-Абадская	Ноокенский	
308171	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КУДУК-САЙ"""	"ФАП ""КУДУК-САЙ"""	Джалал-Абадская	Ноокенский	
308341	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""АК-ТЕКТИР"""	"ФАП ""АК-ТЕКТИР"""	Джалал-Абадская	Токтогульский	
823361	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""ГИДРОСТРОИТЕЛЬ"""	"ГСВ ""ГИДРОСТРОИТЕЛЬ"""	Чуйская	Ысык-Атинский	
822211	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""СПАРТАК"""	"ГСВ ""СПАРТАК"""	Чуйская	Московский	
721691	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""ЭЧКИЛИ"""	"ГСВ ""ЭЧКИЛИ"""	Таласская	Манасский	Достук ул.
309411	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №4	ГСВ №4	Джалал-Абадская	Токтогульский	
203681	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ДОН-ТАЛАА"""	"ФАП ""ДОН-ТАЛАА"""	Иссык-Кульская	Тонский	
309951	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""АЙГЫР-ДЖАЛ"""	"ГСВ ""АЙГЫР-ДЖАЛ"""	Джалал-Абадская	Чаткальский	А.Эшикулов ул.
203691	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КАЛКАГАР"""	"ФАП ""КАЛКАГАР"""	Иссык-Кульская	Тонский	
203701	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КОЛ-ТОР"""	"ФАП ""КОЛ-ТОР"""	Иссык-Кульская	Тонский	
615691	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""САЙ"""	"ФАП ""САЙ"""	Ошская	Кара-Кулжинский	
309711	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ТЕЛЬМАН"""	"ФАП ""ТЕЛЬМАН"""	Джалал-Абадская	Аксыйский	
309771	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ТОКТОГУЛ"""	"ФАП ""ТОКТОГУЛ"""	Джалал-Абадская	Аксыйский	
309721	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ЖАНЫ-ТАЛАП"""	"ФАП ""ЖАНЫ-ТАЛАП"""	Джалал-Абадская	Аксыйский	
309761	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КУЛУК-ДОБО"""	"ФАП ""КУЛУК-ДОБО"""	Джалал-Абадская	Аксыйский	
309741	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ОЛОН-БУЛАК"""	"ФАП ""ОЛОН-БУЛАК"""	Джалал-Абадская	Аксыйский	
309421	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""КАРА-СУУ"""	"ГСВ ""КАРА-СУУ"""	Джалал-Абадская	Токтогульский	
310181	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ЫНТЫМАК"""	"ФАП ""ЫНТЫМАК"""	Джалал-Абадская	Сузакский	Ынтымак
310121	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ИРРИГАТОР"""	"ФАП ""ИРРИГАТОР"""	Джалал-Абадская	Сузакский	Чынгыз Айтматов
310161	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ТАЛАА-БУЛАК"""	"ФАП ""ТАЛАА-БУЛАК"""	Джалал-Абадская	Сузакский	Сайранбаев
310131	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ЖАЛГЫЗ-ЖАНГАК"""	"ФАП ""ЖАЛГЫЗ-ЖАНГАК"""	Джалал-Абадская	Сузакский	
310141	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ИМ.ТАЙГАРАЕВА"""	"ФАП ""ИМ.ТАЙГАРАЕВА"""	Джалал-Абадская	Сузакский	
308111	ЖАЛАЛ-АБАДСКИЙ МЕДИЦИНСКИЙ КОЛЛЕДЖ	МЕДИЦИНСКИЙ КОЛЛЕДЖ ЖАЛАЛ-АБАДСКИЙ	Джалал-Абадская	Джалал-Абад	
513381	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №7	ГСВ №7	Баткенская	Кадамжайский	А.Орозбеков ул.
721441	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ  ""БООТЕРЕК"""	"ГСВ  ""БООТЕРЕК"""	Таласская	Бакай-Атинский	
410701	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №2	ГСВ №2	Нарынская	Нарын	
411271	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ОЗГЕРЮШ"""	"ФАП ""ОЗГЕРЮШ"""	Нарынская	Ат-Башынский	А.Кыдырбаев
309931	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ПАДЕК"""	"ФАП ""ПАДЕК"""	Джалал-Абадская	Ала-Букинский	Сатыбалдиев.М. ул.
204221	"РЕСПУБЛИКАНСКИЙ РЕАБИЛИТАЦИОННЫЙ ЦЕНТР ДЛЯ ВЗРОСЛЫХ ""ЖЕТИ-ОГУЗ"""	"РЦ  РЕАБИЛИТАЦИИ  ""ЖЕТИ-ОГУЗ"""	Иссык-Кульская	Жети-Огузский	Озёрная ул.
310261	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КОДУЛ"""	"ФАП ""КОДУЛ"""	Джалал-Абадская	Токтогульский	
310241	"ФИЛИАЛ ТЕРРИТОРИАЛЬНОЙ БОЛЬНИЦЫ ""САРЫ-КАМЫШ"""	"ФТБ ""САРЫ-КАМЫШ"""	Джалал-Абадская	Токтогульский	
410731	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""АКЧИЙ"""	"ФАП ""АКЧИЙ"""	Нарынская	Кочкорский	
410521	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ОРО-БАШЫ"""	"ФАП ""ОРО-БАШЫ"""	Нарынская	Кочкорский	Тулокабыл
411061	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КЕК-ДЖАР"""	"ФАП ""КЕК-ДЖАР"""	Нарынская	Кочкорский	Ш.Курманалиева
410541	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ТЕРЕК"""	"ФАП ""ТЕРЕК"""	Нарынская	Ак-Талинский	
410851	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""АК-КУДУК"""	"ФАП ""АК-КУДУК"""	Нарынская	Нарынский	
203711	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КОНУР-ОЛОН"""	"ФАП ""КОНУР-ОЛОН"""	Иссык-Кульская	Тонский	
203721	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ТЕМИР-КАНАТ"""	"ФАП ""ТЕМИР-КАНАТ"""	Иссык-Кульская	Тонский	
310011	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ЫНТЫМАК-2"""	"ФАП ""ЫНТЫМАК-2"""	Джалал-Абадская	Ноокенский	
310051	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КАЛИНИН"""	"ФАП ""КАЛИНИН"""	Джалал-Абадская	Ноокенский	
205151	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""БУРКУТ"""	"ГСВ ""БУРКУТ"""	Иссык-Кульская	Тонский	
825711	ПОСТ ЭКСТРЕННОЙ МЕДИЦИНСКОЙ ПОМОЩИ ОРЛОВКА	ПЭМП ОРЛОВКА	Чуйская	Кеминский	
204401	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ТАШ-КЫЯ"""	"ФАП ""ТАШ-КЫЯ"""	Иссык-Кульская	Ак-Суйский	
513871	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""БУЛАК-БАШЫ"""	"ФАП ""БУЛАК-БАШЫ"""	Баткенская	Баткенский	
411071	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""АРА-КЕЛЬ"""	"ФАП ""АРА-КЕЛЬ"""	Нарынская	Кочкорский	Куйгон Суу
411131	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""АК-ДЖАР"""	"ФАП ""АК-ДЖАР"""	Нарынская	Кочкорский	Ак-Жар
411031	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""СЕМИЗ-БЕЛЬ"""	"ФАП ""СЕМИЗ-БЕЛЬ"""	Нарынская	Кочкорский	А.Кулбашев
411101	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ОРТОК"""	"ФАП ""ОРТОК"""	Нарынская	Кочкорский	А.Жунушев
411121	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КОМСОМОЛ"""	"ФАП ""КОМСОМОЛ"""	Нарынская	Кочкорский	Тынайбек
411081	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ЭПКИН"""	"ФАП ""ЭПКИН"""	Нарынская	Кочкорский	Сман
411011	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ИСАКЕЕВ"""	"ФАП ""ИСАКЕЕВ"""	Нарынская	Кочкорский	У.Акиев
411041	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ТУЗ"""	"ФАП ""ТУЗ"""	Нарынская	Кочкорский	Шерипов
410841	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ЭМГЕК-ТАЛАА"""	"ФАП ""ЭМГЕК-ТАЛАА"""	Нарынская	Нарынский	
410831	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""АЛЫШ"""	"ФАП ""АЛЫШ"""	Нарынская	Нарынский	
410791	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ОТТУК"""	"ФАП ""ОТТУК"""	Нарынская	Нарынский	
410771	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ДЕБЕЛЮУ"""	"ФАП ""ДЕБЕЛЮУ"""	Нарынская	Нарынский	
410691	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""АК-ТАЛАА"""	"ФАП ""АК-ТАЛАА"""	Нарынская	Нарынский	
410681	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ЖАН-БУЛАК"""	"ФАП ""ЖАН-БУЛАК"""	Нарынская	Нарынский	
410661	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""МИН-БУЛАК-1"""	"ФАП ""МИН-БУЛАК-1"""	Нарынская	Нарынский	
410651	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ЭМГЕКЧИЛ"""	"ФАП ""ЭМГЕКЧИЛ"""	Нарынская	Нарынский	
410641	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ОРУК-ТАМ"""	"ФАП ""ОРУК-ТАМ"""	Нарынская	Нарынский	
203731	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ТУУРА-СУУ"""	"ФАП ""ТУУРА-СУУ"""	Иссык-Кульская	Тонский	
512191	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""СОВЕТСКОЕ"""	"ГСВ ""СОВЕТСКОЕ"""	Баткенская	Кадамжайский	Комсомольская ул.
411371	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""АК-ЧИЙ"""	"ФАП ""АК-ЧИЙ"""	Нарынская	Ак-Талинский	Уста Турдуке
411261	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ПЕРВОМАЙСКОЕ"""	"ФАП ""ПЕРВОМАЙСКОЕ"""	Нарынская	Ат-Башынский	Т.Дуйшеев
411241	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""АЧА-КАИНДЫ"""	"ФАП ""АЧА-КАИНДЫ"""	Нарынская	Ат-Башынский	Кермакунов
411401	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ЖЕРГЕ-ТАЛ"""	"ФАП ""ЖЕРГЕ-ТАЛ"""	Нарынская	Ак-Талинский	Турдакун
205161	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""БОКОНБАЕВО"""	"ГСВ ""БОКОНБАЕВО"""	Иссык-Кульская	Тонский	
205011	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""АНАНЬЕВО"""	"ГСВ ""АНАНЬЕВО"""	Иссык-Кульская	Иссык-Кульский	Советская
411351	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""БАЙГЕНЧЕК"""	"ФАП ""БАЙГЕНЧЕК"""	Нарынская	Ак-Талинский	
411391	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КОНОРЧОК"""	"ФАП ""КОНОРЧОК"""	Нарынская	Ак-Талинский	
410951	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ЭКИ-НАРЫН"""	"ФАП ""ЭКИ-НАРЫН"""	Нарынская	Нарынский	
410941	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""МИН-БУЛАК"""	"ФАП ""МИН-БУЛАК"""	Нарынская	Нарынский	
410931	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""УЧКУН"""	"ФАП ""УЧКУН"""	Нарынская	Нарынский	
410921	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КЫЗЫЛ-ЖЫЛДЫЗ"""	"ФАП ""КЫЗЫЛ-ЖЫЛДЫЗ"""	Нарынская	Нарынский	
410911	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ДЖАЛГЫЗ-ТЕРЕК"""	"ФАП ""ДЖАЛГЫЗ-ТЕРЕК"""	Нарынская	Нарынский	
410901	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ЖЕР-КЕЧКЮ"""	"ФАП ""ЖЕР-КЕЧКЮ"""	Нарынская	Нарынский	
410891	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""АК-БУЛУН"""	"ФАП ""АК-БУЛУН"""	Нарынская	Нарынский	
